K,C,Y,X,R,S,St,T
64,1,572,572,3,3,1,1
64,64,570,570,3,3,1,1
128,64,284,284,3,3,1,1
128,128,282,282,3,3,1,1
256,128,140,140,3,3,1,1
256,256,138,138,3,3,1,1
512,256,68,68,3,3,1,1
512,512,66,66,3,3,1,1
1024,512,32,32,3,3,1,1
1024,1024,30,30,3,3,1,1
512,1024,28,28,2,2,2,4
512,1024,56,56,3,3,1,1
512,512,54,54,3,3,1,1
512,512,52,52,2,2,2,4
256,512,104,104,3,3,1,1
256,256,102,102,3,3,1,1
128,256,100,100,2,2,2,4
128,256,200,200,3,3,1,1
128,128,198,198,3,3,1,1
64,128,196,196,2,2,2,4
64,128,392,392,3,3,1,1
64,64,390,390,3,3,1,1
2,64,388,388,1,1,1,1
